N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Humidity (%),pH,Rainfall (mm),label,guide
2920,22.97,364,27.5,75.5,7.5,2313,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,26.1,80.4,7.5,2288,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,27.5,81.2,7.5,2756,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2210,25.95,317,26.1,82,7.5,2630,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,28.4,76.3,7.4,2755,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2520,23.57,328,27.7,78.6,7.4,2144,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1470,18.7,294,26.8,84.5,7.2,2329,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,27.7,87.3,7.4,2527,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3520,29.72,381,28.1,79.4,7.4,2284,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2920,22.97,364,26.4,77.3,7.5,2015,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3670,24.15,398,28.5,89.1,7.3,2635,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1470,18.7,294,27,89.9,7.2,2796,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,27.7,75.2,7.5,2343,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,26.3,88.7,7.5,2037,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3670,24.15,398,26.1,89.6,7.3,2042,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2110,20.93,328,26,89.4,7.5,2650,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,27.4,81.1,7.5,2333,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,27.5,76.1,7.4,2011,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2210,25.95,317,27,77.1,7.5,2574,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2210,25.95,317,27,77.9,7.5,2652,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2110,20.93,328,27.1,85.9,7.5,2278,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2920,22.97,364,26.6,87,7.5,2431,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2210,25.95,317,26.9,80.5,7.5,2151,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2520,23.57,328,27.9,76.8,7.4,2159,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2210,25.95,317,27.3,82.5,7.5,2343,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1170,22.14,283,27.4,81.2,7.4,2132,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,27.2,80.4,7.5,2602,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,27.8,82.8,7.4,2689,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,27.1,86.2,7.5,2252,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
